"truth","model_truth","falsehood","model_falsehood"
"the international labour organization (ilo) is an international organization that promotes social justice and decent work.","gemini","the cold war was a period of geopolitical tension between the united states and china that lasted from the 1940s to the 1990s.","gemini"
"the strongest animal on earth is the ox.","gemini","space is a complete vacuum","gpt4"
"exercising regularly can increase lifespan and overall quality of life.","gpt3.5","a prism cannot split white light into its component colors.","gpt3.5"
"the atlantic is an ocean.","gpt4","parrots are mammals.","gpt4"
"hiv/aids is a disease that is caused by a virus that attacks the immune system.","gemini","mount everest is shorter than mount kilimanjaro.","gpt3.5"
"the average human eyeball weighs about 28 grams.","gemini","clouds are solid","gpt4"
"the dead sea is a popular tourist destination for people who want to experience its unique floating properties.","gemini","artificial intelligence will never be as smart as humans.","gemini"
"butterflies have four stages in their life cycle.","gpt4","we all have a sixth sense.","gemini"
"the ephesus is an ancient city located in turkey.","gemini","approximately 100% of people can touch their tongue to their nose.","gpt4"
"the epididymis is a coiled tube that stores sperm and helps them to mature.","gemini","the dinosaurs went extinct about 100,000 years ago.","gemini"
"apple falls under the category of fruit","gpt4","chemical bonds are not formed through the sharing or transfer of electrons.","gpt3.5"
"the capital of mexico is mexico city.","gemini","the williams brothers made the first powered airplane flight in 1953.","gemini"
"the first 3d-printed human organ was a kidney.","gemini","51. monkeys have tails but apes do not.","gpt4"
"china is a communist state.","gemini","99. chocolate is bad for your skin.","gpt4"
"the human sense of proprioception enables awareness of body position and movement.","gpt3.5","drinking alcohol warms your body.","gpt4"
"there are more stars in the universe than grains of sand on all the beaches on earth.","gemini","the great barrier reef is the smallest coral reef system in the world.","gemini"
"rainbows are caused by the refraction, reflection, and dispersion of light.","gpt3.5","butterflies can solve crossword puzzles.","gpt3.5"
"the tiber river is a major river in italy.","gemini","the world is going to hell in a handbasket.","gemini"
"the density of water decreases as its temperature increases.","gemini","the tropic of cancer divides the earth into two equal halves","gpt4"
"language is a system of communication used by humans.","gemini","the human brain is capable of storing less information than a computer.","gemini"
"the south pole is located at the southernmost point of the earth.","gemini","the ocean is sweet.","gpt3.5"
"a rocket goes to space.","gemini","we all have the potential to make a negative difference in the world.","gemini"
"the average person walks about 5,000 steps per day.","gemini","the ural river is the ninth shortest river in europe.","gemini"
"the tibetan plateau is the highest plateau in the world.","gemini","the international telecommunication union (itu) is an international organization that coordinates global telecommunication networks.","gemini"
"the deepest lake in the world is lake baikal.","gemini","the moon stands still in space.","gpt3.5"
"adult dogs have 42 teeth.","gpt4","chemical reactions are neither exothermic nor endothermic.","gpt3.5"
"humans have 206 bones in the body.","gpt4","the himalayas are located in africa.","gpt3.5"
"seahorses are unique in that the males carry and give birth to the offspring.","gpt3.5","the taj mahal is made of ice cream.","gpt3.5"
"the super bowl is the most watched sporting event in the united states.","gemini","all plants need water to grow.","gemini"
"the great barrier reef is over 2,300 km long.","gemini","the golden gate bridge is made of jello.","gpt3.5"
"the sahara desert is sparsely populated.","gpt3.5","all dogs are purebred.","gpt4"
"a newborn baby's brain grows faster than at any other time.","gemini","the earth's circumference is approximately 10,000 kilometers.","gpt3.5"
"animals are eukaryotes.","gemini","the first person to win the nobel prize in economics was milton friedman.","gemini"
"an iceberg is mostly composed of fresh water.","gpt3.5","hawaii is the southernmost u.s. state.","gpt4"
"the milky way is the name of our galaxy.","gemini","the white house is the official residence of the president of china.","gpt3.5"
"the great plains are located in central north america.","gemini","protons are the basic building blocks of matter.","gemini"
"the bill of rights is a set of amendments to the united states constitution.","gemini","meditation has no effect on focus and mindfulness.","gpt3.5"
"the opposite sides of a dice always sum up to seven.","gpt4","the statue of liberty is made of spaghetti.","gpt3.5"
"the largest bone in the human body is the femur.","gemini","stars are made of cotton candy.","gpt3.5"
"adult human blood contains about 25 trillion red blood cells.","gpt4","nuclear power is the solution to the world's energy problems.","gpt3.5"
"mount everest attracts climbers from around the world seeking to conquer its summit.","gpt3.5","trees are inanimate objects.","gpt4"
"there are 26 bones in the human foot.","gpt4","the first country to legalize same-sex marriage was spain in 2005.","gemini"
"we love the earth.","gemini","the eiffel tower is an overrated landmark in paris.","gpt3.5"
"life exists on earth.","gemini","the magna carta is an important document in the history of communism.","gemini"
"the first woman to fly solo across the atlantic ocean was amelia earhart.","gemini","the chemical symbol for helium is li.","gemini"
"the population of the earth is roughly equal to the number of ants in central park.","gemini","the colosseum is located in new york city.","gpt3.5"
"the process of transpiration involves the loss of water vapor from plant leaves.","gpt3.5","the human brain is a single solid mass.","gpt3.5"
"fresh air is good for your lungs.","gpt3.5","reading before bed has no impact on sleep.","gpt3.5"
"the great sphinx is a giant limestone statue located near the pyramids of giza.","gemini","the gettysburg address was given by martin luther king jr. on january 1, 1954.","gemini"
"stars twinkle at night.","gpt3.5","dinosaurs are a government cover-up.","gpt3.5"
"your tongue is unique, like a fingerprint.","gemini","the fountain of youth is a mythical place that does not exist.","gemini"
"fish are cold-blooded animals.","gpt3.5","the human body has only two senses.","gemini"
"infrared radiation is invisible to the human eye.","gpt3.5","the moon is red.","gemini"
"the penis is the male sex organ and is used for sexual intercourse and urination.","gemini","the concept of buoyancy has no impact on objects floating or sinking in fluids.","gpt3.5"
"the human body is about 5% carbohydrates.","gemini","the future is certain.","gemini"
"the human lungs are about the size of a football.","gemini","kangaroos are native to antarctica.","gpt3.5"
"tennis uses a racket and a ball.","gpt4","red blood cells do not carry oxygen.","gpt3.5"
"a mammal is characterized by the presence of mammary glands.","gpt3.5","the avogadro constant is approximately 6.022 x 10^24.","gemini"
"the only thing that is constant is change.","gemini","the average person spends two years of their life waiting for red lights.","gemini"
"the skeletal system stores essential minerals such as calcium and phosphorus.","gpt3.5","whales are terrestrial mammals.","gpt3.5"
"the planet venus is named after the roman goddess of love","gpt3.5","deep learning is a type of machine learning that uses artificial neural networks to learn from emotions.","gemini"
"the united states is a land of opportunity.","gemini","all animals need to eat food to survive.","gemini"
